date,reserve_x,netflow_total_x,transactions_count_inflow_x,transactions_count_outflow_x,addresses_count_inflow,addresses_count_outflow,exchange_whale_ratio,fund_flow_ratio_x,estimated_leverage_ratio,stablecoin_supply_ratio,reserve_y,reserve_usd,netflow_total_y,open_interest,taker_buy_volume,taker_sell_volume,taker_buy_ratio,taker_sell_ratio,taker_buy_sell_ratio,transactions_count_inflow_y,addresses_count_active,addresses_count_sender,addresses_count_receiver,hashrate,price_usd_close
2019.7.14,2922270.075,2659.393154,42902,25273,52221,49568,0.42378938,0.03679972,0.0953513,38.01308568,33590.07051,341446425.8,219.8540347,802261489,2543150800,2934994380,0.46423574,0.53576426,0.86649256,42902,592146,377600,437651,65334365196,10187.73667
2019.7.15,2919567.936,-2702.139144,52993,29094,63328,46291,0.39856321,0.05596321,0.09160864,40.23907326,33898.64905,368024073.3,308.5785345,817588179,2855787185,2772482399,0.50740057,0.49259943,1.030047,52993,757234,483000,585936,65784947025,10838.61643
2019.7.16,2922399.009,2831.07275,55038,26895,62689,41816,0.38432932,0.04921524,0.09700739,34.76877391,33890.58376,322435522.3,-8.065285,756558043,3086785293,3372640201,0.47787304,0.52212696,0.91524299,55038,786204,511693,595767,72994256288,9426.6025
2019.7.17,2927287.76,4888.750845,50413,27690,57352,41456,0.41693457,0.0715472,0.08721114,35.40872939,33922.18586,328186462.7,31.60209979,700836416,2774638228,2658928825,0.51064765,0.48935235,1.0435173,50413,740530,475279,569204,59927383249,9687.6825
2019.7.18,2935265.136,7977.376623,47126,25119,51640,34085,0.48513905,0.02281648,0.0809477,38.67927614,34233.06955,366152632.8,310.8836862,717532921,2859789190,2698212560,0.5145355,0.4854645,1.05988284,47126,740081,461415,588260,54520401302,10633.6325
2019.7.19,2935780.662,515.5253782,42574,25831,53715,43192,0.48502551,0.06578843,0.07864261,38.47286377,33881.18053,356204144.6,-351.8890234,685485429,2037984568,2069665917,0.49614362,0.50385638,0.98469253,42574,741198,476014,566403,53168655815,10520.11667
2019.7.20,2935470.739,-309.922368,38439,23344,46801,33205,0.5419045,0.06644359,0.08065764,39.32588268,34007.33746,366348293.7,126.1569345,717477863,1706396677,1562452553,0.52201755,0.47798245,1.09212704,38439,719972,488402,489016,79752983723,10754.04
2019.7.21,2933958.459,-1512.28075,31043,19904,38786,35049,0.44239569,0.03075907,0.08278768,38.66441554,34549.37007,365747405.1,542.0326057,724441950,1235049157,1383795591,0.47160075,0.52839925,0.89250838,31043,542507,349283,400510,67136692512,10586.22123
2019.7.22,2936226.764,2268.305574,45452,20201,58563,33428,0.46737221,0.01127646,0.08332741,37.7290984,34625.41987,357392330.6,76.04980052,716339525,1447915767,1627943847,0.47073532,0.52926468,0.88941383,45452,706006,450999,533417,71191928973,10328.9
2019.7.23,2926426.395,-9800.369629,43849,19447,51220,34725,0.46825055,0.06595136,0.08729542,36.1218942,34725.62784,342209834.4,100.2079689,715788019,1602571935,1825142821,0.46753363,0.53246637,0.87805289,43849,711421,462321,531518,64075122463,9851.1575
